match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
5	20	3.99	6.48	Open Play	Head	4	0	Medium	Blocked	49.01	6.495283018867925	-49.01	-6.495283018867925	102.01	40.49528301886792	155.01	74.49528301886792	3	2	7.622912927168593	6.495283018867925	58.43792921942084	0	1	7.622912927168593	0	0	1
87	17	4.24	11.22	Open Play	Left	3	1	Low	Saved	48.76	11.246462264150944	-48.76	-11.246462264150944	101.76	45.24646226415094	154.76	79.24646226415095	1	1	12.019172744368523	11.246462264150944	69.34318359796883	1	0	0.0	0	1	0
90	34	18.95	4.74	Open Play	Left	3	1	Medium	Missed	34.05	4.751179245283019	-34.05	-4.751179245283019	87.05	38.75117924528302	140.05	72.75117924528303	1	2	19.53653511298276	4.751179245283019	14.075163464303218	1	0	0.0	0	0	1
86	2	22.44	-13.22	Open Play	Right	3	0	Medium	Missed	30.56	-13.251179245283016	-30.56	13.251179245283016	83.56	20.74882075471698	136.56	54.74882075471698	2	2	26.060455701898604	13.251179245283016	30.56253087123466	1	0	0.0	0	0	1
71	22	20.45	13.97	Open Play	Right	3	0	Medium	Missed	32.55	14.002948113207548	-32.55	-14.002948113207548	85.55	48.00294811320755	138.55	82.00294811320755	2	2	24.784774678442872	14.002948113207548	34.40103168908614	1	0	0.0	0	0	1
91	3	22.44	-3.99	Open Play	Right	3	0	Medium	Missed	30.56	-3.9994103773584895	-30.56	3.9994103773584895	83.56	30.00058962264151	136.56	64.00058962264151	2	2	22.793614969252307	3.9994103773584895	10.10553738105853	1	0	0.0	0	0	1
38	44	7.73	-14.96	Open Play	Right	3	0	Medium	Saved	45.27	-14.995283018867925	-45.27	14.995283018867925	98.27	19.00471698113208	151.26999999999998	53.00471698113208	2	2	16.870430131325897	14.995283018867925	62.729101125685226	1	0	0.0	0	0	1
87	38	6.48	-5.49	Open Play	Head	2	0	High	Missed	46.52	-5.502948113207547	-46.52	5.502948113207547	99.52	28.49705188679245	152.51999999999998	62.49705188679245	3	3	8.5013433018938	5.502948113207547	40.33859423663815	0	1	8.5013433018938	1	0	0
55	55	10.97	7.73	Open Play	Right	1	0	Medium	Missed	42.03	7.748231132075472	-42.03	-7.748231132075472	95.03	41.74823113207548	148.03	75.74823113207547	2	2	13.430412714286316	7.748231132075472	35.233979801794085	1	0	0.0	0	0	1
92	2	24.19	0.75	Open Play	Left	2	0	Low	Missed	28.81	0.7517688679245282	-28.81	-0.7517688679245282	81.81	34.751768867924525	134.81	68.75176886792453	1	1	24.2016787936453	0.7517688679245282	1.7800464790142343	1	0	0.0	0	1	0
31	34	10.97	-0.75	Open Play	Head	2	0	Low	Missed	42.03	-0.7517688679245282	-42.03	0.7517688679245282	95.03	33.248231132075475	148.03	67.24823113207547	3	1	10.995729008609684	0.7517688679245282	3.920323111312825	0	1	10.995729008609684	0	1	0
68	3	14.71	-2.49	Open Play	Right	2	0	Low	Missed	38.29	-2.495872641509434	-38.29	2.495872641509434	91.29	31.504127358490567	144.29	65.50412735849056	2	1	14.920237271660104	2.495872641509434	9.629769790405003	1	0	0.0	0	1	0
56	56	22.94	3.99	Open Play	Right	2	0	Medium	Saved	30.06	3.9994103773584895	-30.06	-3.9994103773584895	83.06	37.99941037735849	136.06	71.99941037735849	2	2	23.28602334806273	3.9994103773584895	9.889672945396017	1	0	0.0	0	0	1
2	38	3.99	2.0	Open Play	Right	1	0	Low	Goal	49.01	2.0047169811320757	-49.01	-2.0047169811320757	102.01	36.00471698113208	155.01	70.00471698113208	2	1	4.465309639256758	2.0047169811320757	26.67656987239674	1	0	0.0	0	1	0
9	58	4.99	-1.25	Open Play	Right	1	0	Medium	Goal	48.01	-1.252948113207547	-48.01	1.252948113207547	101.01	32.747051886792455	154.01	66.74705188679246	2	2	5.144898344417543	1.252948113207547	14.095104458227704	1	0	0.0	0	0	1
7	34	25.19	0.25	Open Play	Right	2	0	Low	Missed	27.81	0.2505896226415094	-27.81	-0.2505896226415094	80.81	34.250589622641506	133.81	68.25058962264151	2	1	25.19124639947328	0.2505896226415094	0.5699584823586361	1	0	0.0	0	1	0
61	29	18.21	-15.46	Open Play	Left	3	0	Medium	Missed	34.79	-15.496462264150944	-34.79	15.496462264150944	87.78999999999999	18.503537735849054	140.79	52.50353773584906	1	2	23.91117819565264	15.496462264150944	40.39733123392194	1	0	0.0	0	0	1
31	26	3.49	-10.97	Open Play	Head	5	2	Medium	Missed	49.51	-10.995872641509434	-49.51	10.995872641509434	102.51	23.004127358490564	155.51	57.00412735849056	3	2	11.536434247560884	10.995872641509434	72.3909876709854	0	1	11.536434247560884	0	0	1
93	14	20.7	15.71	Open Play	Right	2	0	Medium	Saved	32.3	15.747051886792452	-32.3	-15.747051886792452	85.3	49.74705188679245	138.3	83.74705188679245	2	2	26.00883778882351	15.747051886792452	37.26123339006886	1	0	0.0	0	0	1
37	51	24.44	2.24	Open Play	Left	3	0	Low	Blocked	28.56	2.2452830188679247	-28.56	-2.2452830188679247	81.56	36.24528301886792	134.56	70.24528301886792	1	1	24.5429194643754	2.2452830188679247	5.248982931454748	1	0	0.0	0	1	0
